Designator,Mid X,Mid Y,Rotation,Layer
C1,109.447893,-77.06,180.0,top
C10,142.6,-114.8,270.0,top
C11,145.0,-114.2,270.0,top
C12,142.8,-110.0,90.0,top
C13,145.0,-110.0,90.0,top
C14,148.4,-114.4,0.0,top
C15,144.8,-84.0,90.0,top
C16,142.6,-96.0,270.0,top
C17,145.0,-95.4,270.0,top
C18,142.8,-91.2,90.0,top
C19,145.0,-91.2,90.0,top
C2,110.8875,-93.8,90.0,top
C20,148.4,-95.6,0.0,top
C21,175.6,-106.2,90.0,top
C22,175.6,-102.4,90.0,top
C23,175.6,-98.6,90.0,top
C24,178.0,-110.2,90.0,top
C25,178.0,-94.6,90.0,top
C26,143.27,-72.36,270.0,top
C27,132.87,-72.36,270.0,top
C28,130.27,-72.92,270.0,top
C3,112.847893,-85.46,270.0,top
C4,125.0,-100.6,270.0,top
C5,130.065,-89.18,270.0,top
C6,124.7825,-110.3,90.0,top
C7,128.4,-116.4,180.0,top
C8,128.35,-104.6,180.0,top
C9,144.8,-102.8,90.0,top
D1,138.07,-67.16,180.0,top
J1,107.0,-102.0,0.0,top
J2,123.54,-69.2,180.0,top
J3,184.8,-86.14,90.0,top
J4,185.0,-104.94,90.0,top
L1,170.0,-107.8,0.0,top
L2,170.0,-97.0,0.0,top
Q1,159.89,-103.8,0.0,top
Q2,159.89,-111.35,0.0,top
Q3,159.89,-85.0,0.0,top
Q4,159.89,-92.55,0.0,top
R1,107.4875,-92.8,0.0,top
R10,119.8,-108.5,270.0,top
R11,117.6,-108.5,90.0,top
R12,110.8875,-90.0,90.0,top
R13,122.0,-108.5,270.0,top
R14,151.6,-98.6,180.0,top
R15,151.6,-79.4,180.0,top
R16,151.8,-104.2,90.0,top
R17,151.8,-110.0,90.0,top
R18,151.8,-85.4,90.0,top
R19,151.8,-91.2,90.0,top
R2,107.4875,-95.0,0.0,top
R20,178.0,-106.2,90.0,top
R21,178.0,-98.6,90.0,top
R22,102.247893,-82.06,270.0,top
R23,135.4,-115.2,0.0,top
R24,135.4,-103.2,0.0,top
R25,148.0,-102.6,180.0,top
R26,148.0,-83.8,180.0,top
R3,112.847893,-78.685,270.0,top
R4,112.847893,-82.085,270.0,top
R5,107.4875,-88.4,0.0,top
R6,107.4875,-90.6,180.0,top
R7,121.5125,-82.34375,0.0,top
R8,121.5125,-84.54375,180.0,top
R9,124.6,-83.6,270.0,top
U1,107.822893,-81.365,0.0,top
U10,148.0,-91.2,90.0,top
U11,138.0,-77.0,270.0,top
U2,125.0,-90.0,0.0,top
U3,119.8,-101.4,0.0,top
U4,119.8,-113.4,0.0,top
U5,131.2,-113.4,180.0,top
U6,131.2,-101.4,180.0,top
U7,148.2,-105.4,90.0,top
U8,148.0,-110.0,90.0,top
U9,148.2,-86.6,90.0,top
